,speaker,background,speech,type,gender,debate,day,order,PERSON,ORG,GPE,NORP,LAW,LOC,polarity_sentiment
4573,Andrew Yang,,"The fact is, most Americans do not want to work for the federal government. And saying that that is the vision of the economy of the 21st century to me is not a vision that most Americans would embrace.",Candidate,male,4,1,166,,,,Americans;Americans;,,,0.3333333333333333
4574,Andrew Yang,,"Also, Senator Sanders, the description of a federal jobs guarantee does not take into account the work of people like my wife, who's at home with our two boys, one of whom is autistic. We have a freedom dividend of $1,000 a month. It actually recognizes the work that is happening in our families and our communities. It helps all Americans transition.",Candidate,male,4,1,167,Sanders;,,,Americans;,,,-0.1
4575,Andrew Yang,,"Because the fact is -- and you know this in Ohio -- if you rely upon the federal government to target its resources, you wind up with failed retraining programs and jobs that no one wants. When we put the money into our hands, we can build a trickle-up economy from our people, our families, and our communities up. It will enable us to do the kind of work that we want to do. This is the sort of positive vision in response to the fourth industrial revolution that we have to embrace as a party.",Candidate,male,4,1,168,,,Ohio;,,,,0.10545454545454544
4577,Cory Booker,,"Well, first of all, I'm happy to get in finally. And I just want to say, as a great -- as a great New Jersian, Yogi Berra, said, ""I am having deja vu all over again.""",Candidate,male,4,1,170,Yogi Berra;,,,New Jersian;,,,0.4643939393939394
4578,Cory Booker,,"I'm having deja vu all over again, first of all, because I saw this play in 2016's election. We are literally using Donald Trump's lies. And the second issue we cover on this stage is elevating a lie and attacking a statesman. That was so offensive. He should not have to defend ourselves. And the only person sitting at home that was enjoying that was Donald Trump seeing that we're distracting from his malfeasance and selling out of his office.",Candidate,male,4,1,171,Donald Trump;Donald Trump's;,,,,,,0.1875
4580,Cory Booker,,"And I'm having deja vu all over again. And I'm having deja vu all over again because we have another health care debate, and we're not talking about the clear and existential threat in America that we're in a state that has had two Planned Parenthoods close. We are seeing all over this country women's reproductive rights under attack. And God bless Kamala, but you know what? Women should not be the only ones taking up this cause and this fight.",Candidate,male,4,1,173,Kamala;,,America;,,,,0.05000000000000001
4582,Cory Booker,,And men...,Candidate,male,4,1,175,,,,,,,0.0
4584,Cory Booker,,It is not just because women are our daughters and our friends and our wives. It's because women are people. And people deserve to control their own bodies.,Candidate,male,4,1,177,,,,,,,0.6
4587,Elizabeth Warren,,"So the data show that we have had a lot of problems with losing jobs, but the principal reason has been bad trade policy. The principal reason has been a bunch of corporations, giant multinational corporations who've been calling the shots on trade, giant multinational corporations that have no loyalty to America. They have no loyalty to American workers. They have no loyalty to American consumers. They have no loyalty to American communities. They are loyal only to their own bottom line.",Candidate,female,4,1,180,,,America;,American;American;American;,,,0.02592592592592594
4588,Elizabeth Warren,,"I have a plan to fix that, and it's accountable capitalism. It says, you want to have one of the giant corporations in America? Then, by golly, 40 percent of your board of directors should be elected by your employees. That will make a difference when a corporation decides, gee, we could save a nickel by moving a job to Mexico, when there are people on the board in the boardroom saying, no, do you know what that does to our company, do you know what that does to our community, to what it does to our workers?",Candidate,female,4,1,181,,,Mexico;America;,,,,0.0
